Nom Organisme;Court Organisme;Consultant;Synd;Nom Soc;Nom Client;Syndicat;Lib SectAct;Lib StatutPart;Nom Resp Org;Lib Civil;Court Civil;Adresse 1 Org;Adresse 2 Org;CP Org;Ville Org;Nom Pays;CP US;Tél Org;Fax Org;Site Org
BERNARD LEROUGE CONSEIL;BERNARD LEROUGE;VRAI;FAUX;BERNARD LEROUGE CONSEIL;;Non adhérents = 999;;;;;;4 rue du Meunier;;68720;FROENINGEN;FRANCE;FAUX;;;
HUTCHINSON;HUTCHINSON;FAUX;FAUX;HUTCHINSON;;Non adhérents = 999;;;;;;2 rue Turgot;;27150;ETREPAGNY;FRANCE;FAUX;;;
FABRE;FABRE;VRAI;FAUX;BNF;;Non adhérents = 999;;;;;;158 rue des Pyrénées;;75020;PARIS;FRANCE;FAUX;;;
MG-VALDUNES;MG-VALDUNES;FAUX;FAUX;MG VALDUNES;;FIF = 101;;;;;;BP 60129;;59945;LEFFRINCKOUCKETEL;FRANCE;FAUX;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;174 avenue de France;;75013;PARIS;FRANCE;FAUX;;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;11 avenue Louison Bobet;;94120;FONTENAY SOUS BOIS;FRANCE;FAUX;;;
RATP;RATP;FAUX;FAUX;RATP;;RATP = 103;;;;;;LAC UG41 - Val Bienvenüe;11 avenue Louison Bobet;94210;FONTENAY SOUS BOIS;FRANCE;FAUX;;;
INVEHO;INVEHO;FAUX;FAUX;INVEHO UFO;;AFWP = 201;;;;;;Route de l'Ombrée;;18200;ORVAL;FRANCE;FAUX;;;
HUTCHINSON;HUTCHINSON;FAUX;FAUX;HUTCHINSON;; =;;;;;;2 rue Turgot;;27150;ETREPAGNY;FRANCE;FAUX;;;
SYSTEREL;SYSTEREL;FAUX;FAUX;SYSTEREL;;Non adhérents = 999;;;;;;Porte de l'Arbois;1090 rue René Descartes;13100;AIX EN PROVENCE;FRANCE;FAUX;;;
ALTRAIX INTERNATIONAL;ALTRAIX;FAUX;FAUX;ALTRAIX;;Non adhérents = 999;;;;;;41 impasse de la Noria;;13480;CABRIES;FRANCE;FAUX;;;
WABTEC;WABTEC;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;Via Volvera 51;;10045;PIOSSASCO (TO);ITALIE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;75 rue Georges Lassalle;;65000;TARBES;FRANCE;FAUX;;;
EURAILTEST;EURAILTEST;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;1 boulevard Saint-Martin;;75003;PARIS;FRANCE;FAUX;;;
ENGIE SOLUTIONS;ENGIE SOLUTIONS;FAUX;FAUX;ENGIE SOLUTIONS;;Non adhérents = 999;;;;Monsieur;M.;4 rue du Marché Commun;;44334;NANTES;FRANCE;FAUX;;;
SNCF Direction du matériel;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;48 avenue de Périgueux;;67800;BISCHHEIM;FRANCE;FAUX;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;15-17 rue Jean-Philippe Rameau;;93212;LA PLAINE SAINT-DENIS;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Calle de Martinez;Villergas 49;28027;MADRID;ESPAGNE;FAUX;;;
COFREN SAS;COFREN SAS;FAUX;FAUX;FAIVELEY TRANSPORT;;FIF = 101;;;;;;21bis boulevard de la Liberté;;18100;VIERZON;FRANCE;FAUX;;;
KNORR BREMSE;KNORR BREMSE;FAUX;FAUX;KNORR-BREMSE;;FIF = 101;;;;;;9 route de Champigny;;51430;TINQUEUX;FRANCE;FAUX;;;
TIMKEN GmbH;TIMKEN GmbH;FAUX;FAUX;THE TIMKEN COMPANY;; =;;;;;;Reisholzer Werftstraße 38;;40589;DUSSELDORF;ALLEMAGNE;FAUX;;;
PANDROL;PANDROL;FAUX;FAUX;PANDROL;;FIF = 101;;;;;;Parc Lavoisier;Rue Michel Chasles;59494;PETITE FORET;FRANCE;FAUX;;;
FMAM;FMAM;FAUX;FAUX;FMAM;;Non adhérents = 999;;Petite ou moyenne entreprise;Florent MÉNAGÉ;Monsieur;M.;Lieu dit Sarré;;18140;SANCERGUES;FRANCE;FAUX;;;
WABTEC CORPORATION;WABTEC;FAUX;FAUX;WABTEC;;FIF = 101;;;;;;2901 E LAKE ROAD;;16531;ERIE PA;ETATS-UNIS;VRAI;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;Campus Rimbaud;12 rue Jean-Philippe Rameau;93212;LA PLAINE SAINT-DENIS Cedex;FRANCE;FAUX;;;"SNCF RÉSEAU - SECRÉTARIAT GÉNÉRAL
DIRECTION GÉNÉRALE CLIENTS & SERVICES
DIRECTION DE L’ACCESSIBILITE"
ALSTOM FLERTEX;ALSTOM FLERTEX;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;41 rue Jean Jaurès;;92230;GENNEVILLIERS;FRANCE;FAUX;;;
SACOTTE PARTNERS;SACOTTE PARTNER;FAUX;FAUX;SACOTTE PARTNERS;;Non adhérents = 999;;Petite ou moyenne entreprise;Sacotte;Monsieur;M.;67 promenade des Anglais;;06000;NICE;FRANCE;FAUX;;;
MECALAC FRANCE SAS;MECALAC;FAUX;FAUX;MECALAC;;Non adhérents = 999;;;Bruno CHALEON;Monsieur;M.;2 avenue du Pré Challes;Parc des Glaisins - CS 40230;74942;ANNECY Cedex;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;9 rue des Patis;;76140;LE PETIT QUEVILLY;FRANCE;FAUX;;;
ALSTOM HYDROGENE SAS;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;Domaine du Petit Arbois - Bât. J. Verne;Avenue Louis Philibert;13547;AIX-EN-PROVENCE;FRANCE;FAUX;;;
SNCF Voyageurs;SNCF Voyageurs;FAUX;FAUX;SNCF VOYAGEURS;;SNCF Voyageurs = 102;;;;;;Direction générale TGV;21 rue d'Alsace;75010;PARIS;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;2 rue Paulin Talabot;;93400;SAINT-OUEN;FRANCE;FAUX;;;
ALSTOM;ALSTOM;FAUX;FAUX;ALSTOM GROUP;;FIF = 101;;;;;;1375 rue Michaud;;J3Y 7K1;LONGUEUIL (Québec);CANADA;VRAI;;;
SNCF Réseau;SNCF Réseau;FAUX;FAUX;SNCF RESEAU;;SNCF Réseau = 104;;;;;;2 place aux Etoiles;;93210;LA PLAINE SAINT-DENIS;FRANCE;FAUX;;;
EFECTIS;EFECTIS;FAUX;FAUX;EFECTIS;;Non adhérents = 999;;;;;;Espace Technologique - Bâtiment Apollo;Route de l’Orme des Merisiers;91193;SAINT-AUBIN;FRANCE;FAUX;+33 1 60 13 83 82;;
COLAS RAIL;COLAS RAIL;FAUX;FAUX;COLAS RAIL;;FIF = 101;;;;;;Tour Lafayette;2 place des Vosges;92400;COURBEVOIE;FRANCE;FAUX;;;
